Locality,PrecinctCode,PrecinctName,ActiveVoters,InactiveVoters,AllVoters,MilitaryVoters,OverseasVoters,TempVoters,TotalPrecinctsInLocality,TotalActiveVotersPrecinctLocality,TotalInActiveVotersPrecinctLocality,TotalAllVotersPrecinctLocality,TotalMilitaryVotersPrecinctLocality,TotalOverseasVotersPrecinctLocality,TotalFederalVotersPrecinctLocality,StateTotalLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,StateTotalPrecincts
Locality: 001 ACCOMACK COUNTY,0101,101 - CHINCOTEAGUE,"2,688",83,"2,771",26,1,12,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0201,201 - ATLANTIC,"1,132",32,"1,164",7,,,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0202,202 - GREENBACKVILLE,"1,850",82,"1,932",23,1,2,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0301,301 - NEW CHURCH,"2,572",210,"2,782",14,1,,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0401,401 - BLOXOM,866,22,888,5,,2,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0402,402 - PARKSLEY,"1,180",25,"1,205",10,3,2,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0403,403 - SAXIS,320,11,331,1,,,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0501,501 - MAPPSVILLE,"1,166",34,"1,200",3,1,2,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0502,502 - RUE,"1,057",35,"1,092",7,,,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0601,601 - ACCOMAC,"1,948",52,"2,000",13,2,2,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0602,602 - TANGIER,338,4,342,4,,2,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0701,701 - NANDUA,"2,865",107,"2,972",27,2,14,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0801,801 - BOBTOWN,917,19,936,4,1,3,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0802,802 - MELFA,"1,392",48,"1,440",5,,,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0803,803 - WACHAPREAGUE,788,17,805,4,1,1,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 001 ACCOMACK COUNTY,0901,901 - PAINTER,"2,853",69,"2,922",26,,5,16,"23,932",850,"24,782",179,13,47,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0101,101 - WOODBROOK,"3,025",94,"3,119",18,15,1,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0103,103 - BRANCHLANDS,"1,378",78,"1,456",10,7,1,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0104,104 - AGNOR-HURT,"2,587",96,"2,683",18,19,8,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0105,105 - DUNLORA,"3,508",112,"3,620",28,30,5,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0106,106 - NORTHSIDE,"3,826",117,"3,943",43,28,4,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0201,201 - JACK JOUETT,"3,687",177,"3,864",24,41,24,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0202,202 - UNIVERSITY,"3,025",818,"3,843",15,47,17,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0203,203 - GEORGETOWN,"3,311",175,"3,486",27,19,14,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0301,301 - IVY,"3,999",82,"4,081",20,48,14,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0302,302 - RED HILL,"3,119",62,"3,181",8,29,7,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0304,304 - EAST IVY,"1,093",23,"1,116",7,13,2,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0305,305 - COUNTRY GREEN,"2,912",81,"2,993",21,21,2,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0306,306 - PORTERS,"1,655",25,"1,680",10,6,1,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0307,307 - YELLOW MOUNTAIN,733,22,755,3,9,4,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0401,401 - SCOTTSVILLE,"1,756",37,"1,793",7,15,3,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
Locality: 003 ALBEMARLE COUNTY,0402,402 - MONTICELLO,"1,606",34,"1,640",8,8,,30,"78,886","3,060","81,946",571,605,177,133,"5,797,706","205,096","6,002,802","78,330","25,278","10,175","2,453"
